"imdb_title","original_title","release_year","genre1","genre2","genre3","duration","country","content_rating","director1","director2","income","votes","score"
"tt0816692","Interstellar","2014","Adventure"," Drama"," Sci-Fi","169","US","PG-13","Christopher Nolan",NULL,"696742056 ","1449256","8.6"
"tt0114369","Se7en","1995","Crime"," Drama"," Mystery","127","US","R","David Fincher",NULL,"327333559 ","1402015","8.6"
"tt0102926","The Silence of the Lambs","1991","Crime"," Drama"," Thriller","118","US","R","Jonathan Demme",NULL,"272753884 ","1234134","8.6"
"tt0076759","Star Wars","1977","Action"," Adventure"," Fantasy","121","US","PG","George Lucas",NULL,"775768912 ","1204107","8.6"
"tt0120815","Saving Private Ryan","1998","Drama"," War",NULL,"169","US","R","Steven Spielberg",NULL,"482349603 ","1203825","8.6"
"tt0120689","The Green Mile","2000","Crime"," Drama"," Fantasy","189","US","R","Frank Darabont",NULL,"286801374 ","1112336","8.6"
"tt0317248","Cidade de Deus","2003","Crime"," Drama",NULL,"130","BR","R","Fernando Meirelles"," KÃ¡tia Lund","30680793 ","685856","8.6"
"tt0245429","Sen to Chihiro no kamikakushi","2003","Animation"," Adventure"," Family","125","JP","PG","Hayao Miyazaki",NULL,"355467056 ","626693","8.6"
"tt0118799","La vita B9 bella","1997","Comedy"," Drama"," Romance","116","IT","Unrated","Roberto Benigni",NULL,"230098753 ","605648","8.6"
"tt6751668","Gisaengchung","2019","Comedy"," Drama"," Thriller","132","KR","Unrated","Bong Joon Ho",NULL,"257604912 ","470931","8.6"
"tt0038650","It's a Wonderful Life","1948","Drama"," Family"," Fantasy","130","US","PG","Frank Capra",NULL,"6130720 ","38831","8.6"
"tt0047478","Shichinin no samurai","1955","Action"," Adventure"," Drama","207","JP","Unrated","Akira Kurosawa",NULL,"322773 ","307958","8.6"
"tt0172495","Gladiator","2000","Action"," Adventure"," Drama","155","US","R","Ridley Scott",NULL,"465361176 ","1308193","8.5"
"tt0407887","The Departed","2006","Crime"," Drama"," Thriller","151","US","R","Martin Scorsese",NULL,"291465034 ","1159703","8.5"
"tt0482571","The Prestige","2006","Drama"," Mystery"," Sci-Fi","130",NULL,"PG-13","Christopher Nolan",NULL,"109676311 ","1155723","8.5"
"tt0088763","Back to the Future","1985","Adventure"," Comedy"," Sci-Fi","116","US","PG","Robert Zemeckis",NULL,"388774684 ","1027330","8.5"
"tt0120586","American History X","1999","Drama",NULL,NULL,"119","US","R","Tony Kaye",NULL,"23875127 ","1014218","8.5"
